State,Percent Participating in Integrated Employment
Hawaii,2
Alabama,4
Illinois,6
New Jersey,11
D.C.,12
Montana,12
Missouri,12
California,12
Texas,13
Kansas,13
New York,13
Minnesota,13
Georgia,13
Florida,14
Indiana,15
Iowa,17
Pennsylvania,18
Nevada,18
Wyoming,18
South Dakota,18
Kentucky,18
Tennessee,19
Rhode Island,19
U.S. Total,19
Wisconsin,21
Ohio,21
Arizona,21
North Carolina,22
Utah,23
Michigan,23
Virginia,24
Alaska,26
Colorado,27
Maine,28
South Carolina,29
Delaware,29
Massachusetts,29
Louisiana,31
Oregon,32
Vermont,37
New Hampshire,38
New Mexico,39
Maryland,40
West Virginia,41
Connecticut,49
Oklahoma,62
Washington,86
